,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
49,False,/lQzSMhkAl90iXPirjnLbRHkxApC.jpg,[27],917007,en,Bed Rest,A pregnant woman on bed rest begins to wonder if her house is haunted or if it's all in her head.,30.762,/tiZF8b9T9fMcwvsEEkJ5ik1wCnV.jpg,2022-12-08,Bed Rest,False,5.6,17
50,False,/3t5FfSD7z0pHG0L5NfhMmdNsqhj.jpg,"[35, 18]",555285,en,"Are You There God? It's Me, Margaret.","When her family moves from the city to the suburbs, 11-year-old Margaret navigates new friends, feelings, and the beginning of adolescence.",45.273,/yb6UB4WC3znlwU0L4AqMnjR9G9S.jpg,2023-04-27,"Are You There God? It's Me, Margaret.",False,6.3,3
51,False,,"[18, 28]",1012837,zh,长空之王,"A talented trainee pilot is given the opportunity to virtually test the latest fighter jet, which pushes him to his limits.",28.004,/jqJe5jn3cKlspBpOpS8kR1Wfc36.jpg,2023-04-28,Born To Fly,False,0.0,0
52,False,/jwZJRPWLDOjuRAM5TwccTwDpEuj.jpg,"[12, 28, 878]",1892,en,Return of the Jedi,"Luke Skywalker leads a mission to rescue his friend Han Solo from the clutches of Jabba the Hutt, while the Emperor seeks to destroy the Rebellion once and for all with a second dreaded Death Star.",34.105,/xxCnFmRZ83jHTZsBiceG4IBUGoq.jpg,1983-05-25,Return of the Jedi,False,7.9,14134
53,False,/k88X6FXbypxL6OeoV5bDcTK1gfM.jpg,"[9648, 53, 80]",844417,en,Marlowe,Private detective Philip Marlowe becomes embroiled in an investigation involving a wealthy Californian family after a beautiful blonde hires him to track down her former lover.,31.602,/vjAMj81oYBryzGBhJk4gcK0M636.jpg,2023-02-15,Marlowe,False,5.9,95
54,False,/vXYnLfn6c5137Dt2UlpSXIPeE1C.jpg,"[35, 18, 10749]",507903,en,Spoiler Alert,"Journalist Michael Ausiello embarks on a rollercoaster ride of emotions when Kit Cowan, his partner of 14 years, is diagnosed with terminal cancer.",24.912,/zdXoC9hgPieyT2x3TXcZGeRbpJZ.jpg,2022-12-02,Spoiler Alert,False,7.5,63
55,False,/a9zLkSGkP4NLSwTEr67RDM6eWIC.jpg,"[14, 16, 12, 10751]",459003,uk,Мавка: Лісова пісня,"Mavka — a Soul of the Forest and its Warden — faces an impossible choice between love and her duty as guardian to the Heart of the Forest, when she falls in love with a human — the talented young musician Lukas.",30.223,/upriFMw6MVr0wocBJBKUGWV8Mxa.jpg,2023-03-02,Mavka: The Forest Song,False,6.8,17
56,False,/bCTLIwTUm75rMzXKZ1iefCNTC1r.jpg,[18],770724,it,L'immensità,"The story of love between Clara and her children, set in Rome in the '70s.",29.138,/o1bPKUymQ5OtOvPmcOlE3cj7Ld3.jpg,2022-09-15,L'immensità,False,6.6,108
57,False,/1hwXjae7SrpbZ4VvIQObuZ8fBul.jpg,"[18, 10749, 9648]",715742,es,Trenque Lauquen,"With the strange disappearance of Laura, two colleagues, her older boyfriend, Rafael, and Ezequiel, learn of their recent discoveries, which may help them locate her. However, the story is bigger and stranger than they could imagine.",19.075,/9L0gzTFcyN1b5Qa1J29pBhhELIZ.jpg,2023-05-03,Trenque Lauquen,False,0.0,0
58,False,/xLsMxgMjko1rWbIUbvf6UBjToBE.jpg,"[18, 36]",878361,en,Big George Foreman: The Miraculous Story of the Once and Future Heavyweight Champion of the World,"Fueled by an impoverished childhood, George Foreman channeled his anger into becoming an Olympic Gold medalist and World Heavyweight Champion, followed by a near-death experience that took him from the boxing ring to the pulpit. But when he sees his community struggling spiritually and financially, Foreman returns to the ring and makes history by reclaiming his title, becoming the oldest and most improbable World Heavyweight Boxing Champion ever.",37.92,/6GTbVpYflqsXno9DGxLKBJAmFw2.jpg,2023-04-27,Big George Foreman: The Miraculous Story of the Once and Future Heavyweight Champion of the World,False,2.0,1
